ip,puerto,estado,fecha_escaneo
(10.72.2.3),22/tcp,open,2024-07-15 16:50:05.042799
(10.72.2.3),53/tcp,open,2024-07-15 16:50:05.042799
(10.72.2.3),80/tcp,open,2024-07-15 16:50:05.042799
(10.72.2.3),3128/tcp,open,2024-07-15 16:50:05.042799
(10.72.2.3),7445/tcp,open,2024-07-15 16:50:05.042799
10.72.2.5,135/tcp,open,2024-07-15 16:50:05.042799
10.72.2.5,139/tcp,open,2024-07-15 16:50:05.042799
10.72.2.5,445/tcp,open,2024-07-15 16:50:05.042799
10.72.2.5,3389/tcp,open,2024-07-15 16:50:05.042799
10.72.2.5,5800/tcp,open,2024-07-15 16:50:05.042799
10.72.2.5,5900/tcp,open,2024-07-15 16:50:05.042799
10.72.2.5,47001/tcp,open,2024-07-15 16:50:05.042799
10.72.2.5,49152/tcp,open,2024-07-15 16:50:05.042799
10.72.2.5,49153/tcp,open,2024-07-15 16:50:05.042799
10.72.2.5,49154/tcp,open,2024-07-15 16:50:05.042799
10.72.2.5,49168/tcp,open,2024-07-15 16:50:05.042799
10.72.2.5,49177/tcp,open,2024-07-15 16:50:05.042799
10.72.2.5,49186/tcp,open,2024-07-15 16:50:05.042799
10.72.2.5,49187/tcp,open,2024-07-15 16:50:05.042799
10.72.2.6,22/tcp,open,2024-07-15 16:50:05.042799
10.72.2.6,80/tcp,open,2024-07-15 16:50:05.042799
10.72.2.6,427/tcp,open,2024-07-15 16:50:05.042799
10.72.2.6,443/tcp,open,2024-07-15 16:50:05.042799
10.72.2.6,902/tcp,open,2024-07-15 16:50:05.042799
10.72.2.6,2233/tcp,closed,2024-07-15 16:50:05.042799
10.72.2.6,5988/tcp,closed,2024-07-15 16:50:05.042799
10.72.2.6,5989/tcp,closed,2024-07-15 16:50:05.042799
10.72.2.6,8000/tcp,open,2024-07-15 16:50:05.042799
10.72.2.6,8080/tcp,closed,2024-07-15 16:50:05.042799
10.72.2.6,8300/tcp,open,2024-07-15 16:50:05.042799
10.72.2.6,9080/tcp,open,2024-07-15 16:50:05.042799
10.72.2.7,135/tcp,open,2024-07-15 16:50:05.042799
10.72.2.7,139/tcp,open,2024-07-15 16:50:05.042799
10.72.2.7,445/tcp,open,2024-07-15 16:50:05.042799
10.72.2.7,902/tcp,open,2024-07-15 16:50:05.042799
10.72.2.7,912/tcp,open,2024-07-15 16:50:05.042799
10.72.2.7,3389/tcp,open,2024-07-15 16:50:05.042799
10.72.2.7,3454/tcp,open,2024-07-15 16:50:05.042799
10.72.2.7,5985/tcp,open,2024-07-15 16:50:05.042799
10.72.2.7,49720/tcp,open,2024-07-15 16:50:05.042799
